Year,State,Count
1/1/07,AK,1642
1/1/07,AL,5452
1/1/07,AR,3836
1/1/07,AZ,14646
1/1/07,CA,138986
1/1/07,CO,14225
1/1/07,CT,4482
1/1/07,DC,5320
1/1/07,DE,1061
1/1/07,FL,48069
1/1/07,GA,19639
1/1/07,GU,725
1/1/07,HI,6070
1/1/07,IA,2734
1/1/07,ID,1749
1/1/07,IL,15487
1/1/07,IN,7358
1/1/07,KS,1924
1/1/07,KY,8061
1/1/07,LA,5494
1/1/07,MA,15127
1/1/07,MD,9628
1/1/07,ME,2638
1/1/07,MI,28295
1/1/07,MN,7323
1/1/07,MO,6434
1/1/07,MS,1377
1/1/07,MT,1150
1/1/07,NC,11802
1/1/07,ND,636
1/1/07,NE,3531
1/1/07,NH,2248
1/1/07,NJ,17314
1/1/07,NM,3015
1/1/07,NV,8642
1/1/07,NY,62601
1/1/07,OH,11264
1/1/07,OK,4221
1/1/07,OR,17590
1/1/07,PA,16220
1/1/07,PR,4309
1/1/07,RI,1372
1/1/07,SC,5660
1/1/07,SD,579
1/1/07,TN,11210
1/1/07,TX,39788
1/1/07,UT,3011
1/1/07,VA,9746
1/1/07,VI,559
1/1/07,VT,1035
1/1/07,WA,23379
1/1/07,WI,5648
1/1/07,WV,2409
1/1/07,WY,537
1/1/08,AK,1646
1/1/08,AL,5387
1/1/08,AR,3255
1/1/08,AZ,12488
1/1/08,CA,136531
1/1/08,CO,14747
1/1/08,CT,4627
1/1/08,DC,6044
1/1/08,DE,933
1/1/08,FL,50158
1/1/08,GA,19095
1/1/08,GU,725
1/1/08,HI,6061
1/1/08,IA,3346
1/1/08,ID,1464
1/1/08,IL,14724
1/1/08,IN,7395
1/1/08,KS,1572
1/1/08,KY,8137
1/1/08,LA,5481
1/1/08,MA,14506
1/1/08,MD,9219
1/1/08,ME,2632
1/1/08,MI,28248
1/1/08,MN,7644
1/1/08,MO,7853
1/1/08,MS,1961
1/1/08,MT,1417
1/1/08,NC,12411
1/1/08,ND,615
1/1/08,NE,3985
1/1/08,NH,2019
1/1/08,NJ,13832
1/1/08,NM,3015
1/1/08,NV,8726
1/1/08,NY,61125
1/1/08,OH,12912
1/1/08,OK,3846
1/1/08,OR,20653
1/1/08,PA,15378
1/1/08,PR,3012
1/1/08,RI,1196
1/1/08,SC,5660
1/1/08,SD,579
1/1/08,TN,9705
1/1/08,TX,40190
1/1/08,UT,3434
1/1/08,VA,8469
1/1/08,VI,602
1/1/08,VT,954
1/1/08,WA,21954
1/1/08,WI,5449
1/1/08,WV,2016
1/1/08,WY,751
1/1/09,AK,1992
1/1/09,AL,6080
1/1/09,AR,2852
1/1/09,AZ,14721
1/1/09,CA,123678
1/1/09,CO,15268
1/1/09,CT,4605
1/1/09,DC,6228
1/1/09,DE,1130
1/1/09,FL,55599
1/1/09,GA,20360
1/1/09,GU,1088
1/1/09,HI,5782
1/1/09,IA,3380
1/1/09,ID,1939
1/1/09,IL,14055
1/1/09,IN,6984
1/1/09,KS,1670
1/1/09,KY,5999
1/1/09,LA,12504
1/1/09,MA,15482
1/1/09,MD,11698
1/1/09,ME,2444
1/1/09,MI,14005
1/1/09,MN,7718
1/1/09,MO,7181
1/1/09,MS,2797
1/1/09,MT,1196
1/1/09,NC,12918
1/1/09,ND,773
1/1/09,NE,3718
1/1/09,NH,1645
1/1/09,NJ,13169
1/1/09,NM,3475
1/1/09,NV,11089
1/1/09,NY,61067
1/1/09,OH,12700
1/1/09,OK,4838
1/1/09,OR,17309
1/1/09,PA,15096
1/1/09,PR,4070
1/1/09,RI,1607
1/1/09,SC,4473
1/1/09,SD,731
1/1/09,TN,10532
1/1/09,TX,36761
1/1/09,UT,3795
1/1/09,VA,8852
1/1/09,VI,471
1/1/09,VT,1214
1/1/09,WA,22782
1/1/09,WI,6525
1/1/09,WV,1667
1/1/09,WY,515
1/1/10,AK,1863
1/1/10,AL,6046
1/1/10,AR,2762
1/1/10,AZ,13711
1/1/10,CA,123480
1/1/10,CO,15482
1/1/10,CT,4316
1/1/10,DC,6539
1/1/10,DE,982
1/1/10,FL,57551
1/1/10,GA,19836
1/1/10,GU,1635
1/1/10,HI,5834
1/1/10,IA,3014
1/1/10,ID,2346
1/1/10,IL,14395
1/1/10,IN,6452
1/1/10,KS,1809
1/1/10,KY,6623
1/1/10,LA,12482
1/1/10,MA,16646
1/1/10,MD,10845
1/1/10,ME,2379
1/1/10,MI,13058
1/1/10,MN,7869
1/1/10,MO,8337
1/1/10,MS,2743
1/1/10,MT,1615
1/1/10,NC,12191
1/1/10,ND,799
1/1/10,NE,3877
1/1/10,NH,1574
1/1/10,NJ,13737
1/1/10,NM,3475
1/1/10,NV,11205
1/1/10,NY,65606
1/1/10,OH,12569
1/1/10,OK,5229
1/1/10,OR,19492
1/1/10,PA,14516
1/1/10,PR,4149
1/1/10,RI,1282
1/1/10,SC,4473
1/1/10,SD,731
1/1/10,TN,10276
1/1/10,TX,35121
1/1/10,UT,3284
1/1/10,VA,9080
1/1/10,VI,487
1/1/10,VT,1220
1/1/10,WA,22878
1/1/10,WI,6333
1/1/10,WV,2264
1/1/10,WY,579
1/1/11,AK,2128
1/1/11,AL,5558
1/1/11,AR,3424
1/1/11,AZ,10504
1/1/11,CA,125128
1/1/11,CO,15116
1/1/11,CT,4456
1/1/11,DC,6546
1/1/11,DE,1035
1/1/11,FL,56687
1/1/11,GA,20975
1/1/11,GU,1745
1/1/11,HI,6188
1/1/11,IA,3134
1/1/11,ID,2199
1/1/11,IL,14009
1/1/11,IN,6196
1/1/11,KS,2308
1/1/11,KY,6034
1/1/11,LA,9291
1/1/11,MA,16664
1/1/11,MD,10208
1/1/11,ME,2447
1/1/11,MI,13185
1/1/11,MN,7495
1/1/11,MO,9192
1/1/11,MS,2306
1/1/11,MT,1768
1/1/11,NC,12896
1/1/11,ND,603
1/1/11,NE,3548
1/1/11,NH,1469
1/1/11,NJ,14137
1/1/11,NM,3601
1/1/11,NV,9150
1/1/11,NY,63445
1/1/11,OH,13030
1/1/11,OK,4625
1/1/11,OR,17254
1/1/11,PA,15096
1/1/11,PR,2900
1/1/11,RI,1070
1/1/11,SC,5093
1/1/11,SD,826
1/1/11,TN,9113
1/1/11,TX,36911
1/1/11,UT,3130
1/1/11,VA,8816
1/1/11,VI,532
1/1/11,VT,1144
1/1/11,WA,20439
1/1/11,WI,5785
1/1/11,WV,2211
1/1/11,WY,1038
1/1/12,AK,1913
1/1/12,AL,5209
1/1/12,AR,4214
1/1/12,AZ,11302
1/1/12,CA,120098
1/1/12,CO,16768
1/1/12,CT,4209
1/1/12,DC,6954
1/1/12,DE,1008
1/1/12,FL,55170
1/1/12,GA,20516
1/1/12,GU,1301
1/1/12,HI,6246
1/1/12,IA,2928
1/1/12,ID,1968
1/1/12,IL,14144
1/1/12,IN,6259
1/1/12,KS,2458
1/1/12,KY,5230
1/1/12,LA,7772
1/1/12,MA,17501
1/1/12,MD,9454
1/1/12,ME,2393
1/1/12,MI,12592
1/1/12,MN,7744
1/1/12,MO,10463
1/1/12,MS,2413
1/1/12,MT,1833
1/1/12,NC,13524
1/1/12,ND,688
1/1/12,NE,3789
1/1/12,NH,1496
1/1/12,NJ,13025
1/1/12,NM,3245
1/1/12,NV,8497
1/1/12,NY,69566
1/1/12,OH,13977
1/1/12,OK,5032
1/1/12,OR,15828
1/1/12,PA,14736
1/1/12,PR,3212
1/1/12,RI,1277
1/1/12,SC,4915
1/1/12,SD,859
1/1/12,TN,9426
1/1/12,TX,34052
1/1/12,UT,3527
1/1/12,VA,8424
1/1/12,VI,484
1/1/12,VT,1160
1/1/12,WA,20504
1/1/12,WI,6027
1/1/12,WV,2410
1/1/12,WY,1813
1/1/13,AK,1946
1/1/13,AL,4689
1/1/13,AR,3812
1/1/13,AZ,10562
1/1/13,CA,118552
1/1/13,CO,9754
1/1/13,CT,4448
1/1/13,DC,6865
1/1/13,DE,946
1/1/13,FL,47862
1/1/13,GA,16971
1/1/13,GU,1271
1/1/13,HI,6335
1/1/13,IA,3084
1/1/13,ID,1781
1/1/13,IL,13425
1/1/13,IN,6096
1/1/13,KS,2331
1/1/13,KY,5245
1/1/13,LA,5226
1/1/13,MA,19029
1/1/13,MD,8205
1/1/13,ME,3016
1/1/13,MI,11527
1/1/13,MN,8214
1/1/13,MO,8943
1/1/13,MS,2403
1/1/13,MT,1878
1/1/13,NC,12168
1/1/13,ND,2069
1/1/13,NE,3145
1/1/13,NH,1447
1/1/13,NJ,12002
1/1/13,NM,2819
1/1/13,NV,7039
1/1/13,NY,77430
1/1/13,OH,12325
1/1/13,OK,4408
1/1/13,OR,13822
1/1/13,PA,15086
1/1/13,PR,4128
1/1/13,RI,1384
1/1/13,SC,6544
1/1/13,SD,1094
1/1/13,TN,9528
1/1/13,TX,29615
1/1/13,UT,3277
1/1/13,VA,7625
1/1/13,VI,482
1/1/13,VT,1454
1/1/13,WA,17760
1/1/13,WI,6104
1/1/13,WV,2240
1/1/13,WY,953
1/1/14,AK,1784
1/1/14,AL,4561
1/1/14,AR,2936
1/1/14,AZ,10495
1/1/14,CA,113952
1/1/14,CO,10028
1/1/14,CT,4450
1/1/14,DC,7748
1/1/14,DE,901
1/1/14,FL,41542
1/1/14,GA,16521
1/1/14,GU,1356
1/1/14,HI,6918
1/1/14,IA,3122
1/1/14,ID,2104
1/1/14,IL,13107
1/1/14,IN,5971
1/1/14,KS,2521
1/1/14,KY,5089
1/1/14,LA,4606
1/1/14,MA,21237
1/1/14,MD,7856
1/1/14,ME,2726
1/1/14,MI,12227
1/1/14,MN,8377
1/1/14,MO,7544
1/1/14,MS,2226
1/1/14,MT,1745
1/1/14,NC,11491
1/1/14,ND,1258
1/1/14,NE,3026
1/1/14,NH,1376
1/1/14,NJ,11671
1/1/14,NM,2746
1/1/14,NV,8582
1/1/14,NY,80590
1/1/14,OH,11823
1/1/14,OK,4191
1/1/14,OR,12164
1/1/14,PA,15333
1/1/14,PR,4132
1/1/14,RI,1190
1/1/14,SC,5057
1/1/14,SD,885
1/1/14,TN,9415
1/1/14,TX,28495
1/1/14,UT,3081
1/1/14,VA,7020
1/1/14,VI,448
1/1/14,VT,1559
1/1/14,WA,18442
1/1/14,WI,6055
1/1/14,WV,2013
1/1/14,WY,757
1/1/15,AK,1956
1/1/15,AL,3970
1/1/15,AR,2560
1/1/15,AZ,9896
1/1/15,CA,115738
1/1/15,CO,9953
1/1/15,CT,4047
1/1/15,DC,7298
1/1/15,DE,953
1/1/15,FL,35900
1/1/15,GA,13790
1/1/15,GU,1280
1/1/15,HI,7620
1/1/15,IA,3081
1/1/15,ID,1966
1/1/15,IL,13177
1/1/15,IN,5863
1/1/15,KS,2348
1/1/15,KY,4538
1/1/15,LA,4081
1/1/15,MA,21135
1/1/15,MD,8390
1/1/15,ME,2372
1/1/15,MI,10516
1/1/15,MN,7546
1/1/15,MO,6722
1/1/15,MS,1983
1/1/15,MT,1709
1/1/15,NC,10685
1/1/15,ND,1305
1/1/15,NE,2744
1/1/15,NH,1445
1/1/15,NJ,10098
1/1/15,NM,2629
1/1/15,NV,8743
1/1/15,NY,88250
1/1/15,OH,11182
1/1/15,OK,3777
1/1/15,OR,13226
1/1/15,PA,15421
1/1/15,PR,4518
1/1/15,RI,1111
1/1/15,SC,5354
1/1/15,SD,1036
1/1/15,TN,9123
1/1/15,TX,23678
1/1/15,UT,3025
1/1/15,VA,7001
1/1/15,VI,337
1/1/15,VT,1523
1/1/15,WA,19419
1/1/15,WI,6057
1/1/15,WV,1835
1/1/15,WY,798
1/1/16,AK,1940
1/1/16,AL,4111
1/1/16,AR,2463
1/1/16,AZ,9707
1/1/16,CA,118142
1/1/16,CO,10550
1/1/16,CT,3902
1/1/16,DC,8350
1/1/16,DE,1070
1/1/16,FL,33559
1/1/16,GA,12909
1/1/16,GU,1085
1/1/16,HI,7921
1/1/16,IA,3064
1/1/16,ID,2247
1/1/16,IL,11590
1/1/16,IN,5798
1/1/16,KS,2008
1/1/16,KY,4237
1/1/16,LA,3994
1/1/16,MA,19608
1/1/16,MD,7689
1/1/16,ME,2241
1/1/16,MI,9316
1/1/16,MN,7341
1/1/16,MO,6441
1/1/16,MS,1738
1/1/16,MT,1418
1/1/16,NC,9559
1/1/16,ND,923
1/1/16,NE,2754
1/1/16,NH,1366
1/1/16,NJ,8895
1/1/16,NM,2263
1/1/16,NV,7398
1/1/16,NY,86352
1/1/16,OH,10404
1/1/16,OK,4107
1/1/16,OR,13238
1/1/16,PA,15339
1/1/16,PR,4418
1/1/16,RI,1160
1/1/16,SC,5051
1/1/16,SD,1072
1/1/16,TN,8779
1/1/16,TX,23122
1/1/16,UT,2807
1/1/16,VA,6268
1/1/16,VI,341
1/1/16,VT,1117
1/1/16,WA,20827
1/1/16,WI,5685
1/1/16,WV,1387
1/1/16,WY,857
