,State,avg_temp_F,prcp_in,days_snowed,in_snow,abbreviation,homelss_pop_2007,homeless_pop_2016,population_2016,population 2007,percent_homless_2007,percent_homeless_2016
0,Alabama,62.8,58.3,0.8,1.6,AL,5452,4111,4863300,4780127,0.001140555,0.000845311
1,Alaska,26.6,22.5,48,74.5,AK,1642,1940,741894,710249,0.002311865,0.002614929
2,Arizona,60.3,13.6,0.3,0.3,AZ,14646,9707,6931071,6392307,0.002291192,0.001400505
3,Arkansas,60.4,50.6,3.8,5.2,AR,3836,2463,2988248,2915958,0.00131552,0.000824229
4,California,59.4,22.2,0,0,CA,138986,118142,39250017,37254503,0.003730717,0.003009986
5,Colorado,45.1,15.9,19.1,19.1,CO,14225,10550,5540545,5029324,0.002828412,0.001904145
6,Connecticut,49,50.3,20.1,40.5,CT,4482,3902,3576452,3574118,0.001254016,0.001091025
7,Delaware,55.3,45.7,11.8,20.2,DE,1061,1070,681170,601767,0.001763141,0.001570827
8,Florida,70.7,54.5,0,0,FL,48069,33559,20612439,18804623,0.002556233,0.001628095
9,Georgia,63.5,50.7,0.7,0.7,GA,19639,12909,10310371,9688681,0.002027005,0.00125204
10,Hawaii,70,63.7,0,0,HI,6070,7921,1428557,1360301,0.004462248,0.005544756
11,Idaho,44.4,18.9,19.4,19.2,ID,1749,2247,1683140,1567652,0.001115681,0.001335005
12,Illinois,51.8,39.2,19.9,24.6,IL,15487,11590,12801539,12831549,0.001206947,0.00090536
13,Indiana,51.7,41.7,23.5,25.9,IN,7358,5798,6633053,6484229,0.001134753,0.000874107
14,Iowa,47.8,34,26.2,34.9,IA,2734,3064,3134693,3046869,0.000897315,0.000977448
15,Kansas,54.3,28.9,10,14.7,KS,1924,2008,2907289,2853132,0.000674347,0.000690678
16,Kentucky,55.6,48.9,11.8,12.5,KY,8061,4237,4436974,4339349,0.001857652,0.00095493
17,Louisiana,66.4,60.1,0.1,0,LA,5494,3994,4681666,4533479,0.001211873,0.000853115
18,Maine,41,42.2,27.8,61.8,ME,2638,2241,1331479,1328361,0.001985906,0.001683091
19,Maryland,54.2,44.5,9.6,20.2,MD,9628,7689,6016447,5773785,0.001667537,0.001277997
20,Massachusetts,47.9,47.7,22.4,43.8,MA,15127,19608,6811779,6547817,0.002310236,0.002878543
21,Michigan,44.4,32.8,44.7,51.1,MI,28295,9316,9928300,9884129,0.00286267,0.000938328
22,Minnesota,41.2,27.3,37.3,54,MN,7323,7341,5519952,5303925,0.001380676,0.001329903
23,Mississippi,63.4,59,0.6,0.9,MS,1377,1738,2988726,2968103,0.000463933,0.000581519
24,Missouri,54.5,42.2,11.5,17,MO,6434,6441,6093000,5988927,0.001074316,0.001057115
25,Montana,42.7,15.3,32.9,38.1,MT,1150,1418,1042520,989417,0.001162301,0.001360166
26,Nebraska,48.8,23.6,18.3,25.9,NE,3531,2754,1907116,1826341,0.001933374,0.001444065
27,Nevada,49.9,9.5,16.3,21.8,NV,8642,7398,2940058,2700691,0.003199922,0.002516277
28,New Hampshire,43.8,43.4,29.8,60.8,NH,2248,1366,1334795,1316466,0.001707602,0.001023378
29,New Jersey,52.7,47.1,8.7,16.5,NJ,17314,8895,8944469,8791936,0.001969305,0.000994469
30,New Mexico,53.4,14.6,9.5,9.6,NM,3015,2263,2081015,2059192,0.001464167,0.00108745
31,New York,45.4,41.8,66.4,123.8,NY,62601,86352,19745289,19378087,0.003230505,0.004373296
32,North Carolina,59,50.3,3.9,7.6,NC,11802,9559,10146788,9535692,0.001237666,0.000942072
33,North Dakota,40.4,17.8,45.2,51.2,ND,636,923,757952,672591,0.000945597,0.001217755
34,Ohio,50.7,39.1,30.4,27.5,OH,11264,10404,11614373,11536725,0.00097636,0.000895787
35,Oklahoma,59.6,36.5,5.6,7.8,OK,4221,4107,3923561,3751616,0.001125115,0.001046753
36,Oregon,48.4,27.4,2.2,3,OR,17590,13238,4093465,3831073,0.004591403,0.003233935
37,Pennsylvania,48.8,42.9,19.4,28.2,PA,16220,15339,12784227,12702887,0.001276875,0.001199838
38,Rhode Island,50.1,47.9,18.7,33.8,RI,1372,1160,1056426,1052931,0.001303029,0.001098042
39,South Carolina,62.4,49.8,0.3,0.5,SC,5660,5051,4961119,4625401,0.001223678,0.001018117
40,South Dakota,45.2,20.1,30.1,43.9,SD,579,1072,865454,814191,0.000711135,0.001238656
41,Tennessee,57.6,54.2,6.2,6.3,TN,11210,8779,6651194,6346275,0.001766391,0.001319913
42,Texas,64.8,28.9,1.3,1.5,TX,39788,23122,27862596,25146105,0.001582273,0.000829858
43,Utah,48.6,12.2,34.8,56.2,UT,3011,2807,3051217,2763888,0.001089407,0.000919961
44,Vermont,42.9,42.7,54.4,81.2,VT,1035,1117,624594,625745,0.001654028,0.001788362
45,Virginia,55.1,44.3,6.1,10.3,VA,9746,6268,8411808,8001045,0.001218091,0.000745143
46,Washington,48.3,38.4,3,5,WA,23379,20827,7288000,6724543,0.003476667,0.002857711
47,West Virginia,51.8,45.2,37.7,62,WV,2409,1387,5778708,5687289,0.000423576,0.000240019
48,Wisconsin,43.1,32.6,38.7,50.9,WI,5648,5685,1831102,1853011,0.003048012,0.003104688
49,Wyoming,42,12.9,36.7,91.4,WY,537,857,585501,563767,0.000952521,0.001463704
50,,,,,,,5320,8350,952065,897936,0.005924698,0.00877041
51,,,,,,,,,,,,